d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
62.9253256,5.4869492,13.5619351,-1.5768590,-0.0977149,7.6762989,4.0990714
63.1250885,5.6867415,13.5588519,-1.5951840,-0.0855054,7.7822394,4.0656946
63.3248515,5.8863737,13.5523601,-1.6109855,-0.0722799,7.8859115,4.0325897
63.5246144,6.0858788,13.5429905,-1.6239882,-0.0579042,7.9874103,0.5037883
63.7243774,6.2853317,13.5313159,-1.6340179,-0.0423792,8.0000000,0.0000000
63.9241403,6.4846314,13.5179568,-1.6409047,-0.0264302,8.0000000,0.0000000
64.1239032,6.6838518,13.5035472,-1.6445519,-0.0100769,8.0000000,0.0000000
64.3236662,6.8830859,13.4887353,-1.6448979,0.0066523,8.0000000,0.0000000
64.5234291,7.0823123,13.4741902,-1.6418968,0.0233125,8.0000000,0.0000000
64.7231920,7.2815935,13.4605734,-1.6355942,0.0398027,8.0000000,0.0000000
64.9229550,7.4810171,13.4485282,-1.6261724,0.0543429,8.0000000,0.0000000
65.1227179,7.6805279,13.4386496,-1.6139104,0.0680027,8.0000000,0.0000000
65.3224809,7.8801412,13.4314801,-1.5990641,0.0806553,8.0000000,-0.4612020
65.5222438,8.0798786,13.4275262,-1.5816966,0.0932075,7.9884753,-6.7951824
65.7220067,8.2796308,13.4272917,-1.5618322,0.1055644,7.8167056,-6.2991870
65.9217697,8.4793381,13.4312686,-1.5395352,0.1176902,7.6540315,-5.8706873
66.1215326,8.6789182,13.4399372,-1.5148556,0.1293679,7.4992471,-5.4841240
66.3212956,8.8781923,13.4537591,-1.4878508,0.1409384,7.3517112,-5.1336198
66.5210585,9.0769934,13.4731846,-1.4585510,0.1524347,7.2108698,-4.8161498
66.7208214,9.2751230,13.4986545,-1.4269610,0.1638495,7.0761902,-4.5179286
66.9205844,9.4723023,13.5305932,-1.3930802,0.1753933,6.9474771,-4.2340240
67.1203473,9.6682423,13.5694203,-1.3568748,0.1871187,6.8246491,-3.9547011
67.3201102,9.8625899,13.6155429,-1.3182962,0.1991814,6.7078931,-3.6694919
67.5198732,10.0549444,13.6693595,-1.2772727,0.2117554,6.5977097,-3.3720092
67.7196361,10.2448682,13.7312696,-1.2336572,0.2249197,6.4948109,-3.0270237
67.9193991,10.4317781,13.8016398,-1.1872965,0.2393767,6.4010307,-2.6478526
68.1191620,10.6151244,13.8808707,-1.1379857,0.2546802,6.3178563,-2.2170882
68.3189249,10.7942424,13.9693457,-1.0854729,0.2710346,6.2473614,-1.8303879
68.5186879,10.9682311,14.0673263,-1.0298679,0.2859178,6.1885569,-1.3605979
68.7184508,11.1363850,14.1751073,-0.9711874,0.3021842,6.1444807,-0.7632413
68.9182138,11.2977748,14.2928786,-0.9089876,0.3204297,6.1196167,-0.7632413
69.1179767,11.4513956,14.4204742,-0.8470493,0.3001496,6.0946512,0.0939845
69.3177396,11.5971554,14.5570701,-0.7898653,0.2631447,6.0977310,1.4578754
69.5175026,11.7355506,14.7011101,-0.7427885,0.2083507,6.1453057,3.3620202
69.7172655,11.8677877,14.8508316,-0.7056354,0.1636097,6.2536386,4.5029620
69.9170284,11.9950543,15.0048024,-0.6771079,0.1250395,6.3958616,4.4662966
70.1167914,12.1184219,15.1619025,-0.6553741,0.0925776,6.5338692,4.4299298
70.3165543,12.2389080,15.3212528,-0.6406992,0.0543080,6.6679321,4.3938590
70.5163173,12.3576537,15.4818958,-0.6336553,0.0164350,6.7982923,4.3580820
70.7160802,12.4758591,15.6429120,-0.6341137,-0.0210381,6.9251675,4.3225962
70.9158431,12.5947384,15.8034723,-0.6416627,-0.0545305,7.0487541,-0.6331197
71.1156061,12.7153458,15.9627037,-0.6560074,-0.0901599,7.0307885,-6.9846264
71.3153690,12.8388036,16.1197345,-0.6777897,-0.1279108,6.8294544,-5.1563504
71.5151320,12.9662678,16.2735166,-0.7079301,-0.1738897,6.6769268,-3.1767168
71.7148949,13.0990106,16.4227863,-0.7474626,-0.2240941,6.5811983,-0.8755914
71.9146578,13.2383062,16.5659570,-0.7977379,-0.2793143,6.5545671,-0.8755914
72.1144208,13.3850878,16.7014243,-0.8530203,-0.2743320,6.5278273,-0.5584428
72.3141837,13.5390743,16.8286557,-0.9072153,-0.2662056,6.5107155,-0.1482154
72.5139466,13.6995855,16.9475142,-0.9591980,-0.2543875,6.5061663,0.3690187
72.7137096,13.8659446,17.0580784,-1.0088498,-0.2427766,6.5174867,0.8217101
72.9134725,14.0374611,17.1604430,-1.0561889,-0.2308443,6.5426239,1.2460939
73.1132355,14.2135161,17.2547936,-1.1010619,-0.2185070,6.5805603,1.6552729
73.3129984,14.3935239,17.3413753,-1.1434739,-0.2061607,6.6306183,2.0400962
73.5127613,14.5769432,17.4204701,-1.1834705,-0.1945293,6.6917987,2.3763037
73.7125243,14.7633052,17.4923811,-1.2212275,-0.1835310,6.7623638,2.6752189
73.9122872,14.9521703,17.5574052,-1.2568718,-0.1733758,6.8409344,2.9325198
74.1120502,15.1431808,17.6158515,-1.2905221,-0.1636932,6.9260379,3.1699888
74.3118131,15.3360107,17.6680235,-1.3222963,-0.1544458,7.0168721,3.3921669
74.5115760,15.5303438,17.7142162,-1.3522679,-0.1456594,7.1127879,3.5997535
74.7113390,15.7259493,17.7547371,-1.3805105,-0.1372193,7.2131787,3.8000925
74.9111019,15.9225965,17.7898815,-1.4071091,-0.1290965,7.3176624,3.9957794
