d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
40.5985418,11.5891728,0.2220674,1.5648907,-0.0326973,7.8603444,4.0407945
40.7985346,11.3889334,0.2239128,1.5581556,-0.0354751,7.9624917,1.4968677
40.9985274,11.1890126,0.2271764,1.5506325,-0.0404316,8.0000000,0.0000000
41.1985202,10.9891610,0.2320614,1.5418469,-0.0475219,8.0000000,0.0000000
41.3985131,10.7889562,0.2388583,1.5316552,-0.0541543,8.0000000,0.0000000
41.5985059,10.5894275,0.2478003,1.5200844,-0.0632046,8.0000000,0.0000000
41.7984987,10.3898538,0.2592880,1.5060529,-0.0770051,8.0000000,0.0000000
41.9984915,10.1907520,0.2737866,1.4900569,-0.0809863,8.0000000,0.0000000
42.1984843,9.9916465,0.2915187,1.4739088,-0.0804745,8.0000000,0.0000000
42.3984771,9.7927181,0.3124692,1.4578291,-0.0803432,8.0000000,0.0000000
42.5984700,9.5943819,0.3365859,1.4417472,-0.0807207,8.0000000,0.0000000
42.7984628,9.3960379,0.3639599,1.4255367,-0.0811765,8.0000000,0.0000000
42.9984556,9.1984520,0.3945072,1.4092643,-0.0816283,8.0000000,0.0000000
43.1984484,9.0014091,0.4282721,1.3928912,-0.0821853,8.0000000,0.0000000
43.3984412,8.8046038,0.4653383,1.3763579,-0.0829325,8.0000000,0.0000000
43.5984340,8.6088381,0.5055821,1.3597168,-0.0836560,8.0000000,0.0000000
43.7984269,8.4135678,0.5491415,1.3428918,-0.0844626,8.0000000,0.0000000
43.9984197,8.2190295,0.5960035,1.3258980,-0.0854648,8.0000000,0.0000000
44.1984125,8.0254026,0.6461606,1.3087328,-0.0862260,8.0000000,0.0000000
44.3984053,7.8326060,0.6996694,1.2913747,-0.0871509,8.0000000,0.0000000
44.5983981,7.6408811,0.7564988,1.2738660,-0.0880623,8.0000000,0.0000000
44.7983909,7.4499354,0.8167755,1.2561593,-0.0887081,8.0000000,0.0000000
44.9983838,7.2604258,0.8803207,1.2383401,-0.0894858,8.0000000,0.0000000
45.1983766,7.0718539,0.9473266,1.2204019,-0.0898898,8.0000000,0.0000000
45.3983694,6.8843858,1.0177644,1.2023651,-0.0900216,8.0000000,0.0000000
45.5983622,6.6988524,1.0913137,1.1843881,-0.0900765,8.0000000,0.0000000
45.7983550,6.5139446,1.1684921,1.1664152,-0.0893825,8.0000000,0.0000000
45.9983478,6.3305840,1.2489081,1.1486032,-0.0882895,8.0000000,0.0000000
46.1983407,6.1493515,1.3322336,1.1311390,-0.0867603,8.0000000,0.0000000
46.3983335,5.9688780,1.4190288,1.1139736,-0.0846160,8.0000000,0.0000000
46.5983263,5.7899317,1.5088531,1.0972662,-0.0821979,8.0000000,0.0000000
46.7983191,5.6129989,1.6013354,1.0811285,-0.0800082,8.0000000,0.0000000
46.9983119,5.4375495,1.6966464,1.0652134,-0.0792595,8.0000000,0.0000000
47.1983047,5.2632011,1.7949795,1.0493012,-0.0795817,8.0000000,0.0000000
47.3982976,5.0908550,1.8958546,1.0328046,-0.0907943,8.0000000,0.0000000
47.5982904,4.9202236,1.9999338,1.0126980,-0.1113881,8.0000000,0.0000000
47.7982832,4.7518348,2.1078874,0.9878679,-0.1367202,8.0000000,0.0000000
47.9982760,4.5865962,2.2203043,0.9581161,-0.1608633,8.0000000,-1.2022480
48.1982688,4.4249507,2.3380425,0.9238033,-0.1802046,7.9698882,-1.2840796
48.3982616,4.2675544,2.4615999,0.8862818,-0.1904595,7.9376007,-1.2840796
48.5982545,4.1150038,2.5908622,0.8500173,-0.1723790,7.9051813,-0.0459038
48.7982473,3.9670438,2.7252279,0.8178445,-0.1480732,7.9040199,1.4761072
48.9982401,3.8230569,2.8639816,0.7908200,-0.1224380,7.9412815,2.3402037
49.1982329,3.6823150,3.0064221,0.7688170,-0.0973682,8.0000000,0.0000000
49.3982257,3.5448304,3.1511032,0.7517772,-0.0734495,8.0000000,0.0000000
49.5982185,3.4094782,3.2978089,0.7391502,-0.0552328,8.0000000,0.0000000
49.7982114,3.2752648,3.4465484,0.7294880,-0.0451451,8.0000000,0.0000000
49.9982042,3.1429693,3.5960242,0.7190529,-0.0590115,8.0000000,0.0000000
50.1981970,3.0123991,3.7470679,0.7063697,-0.0664447,8.0000000,0.0000000
50.3981898,2.8831008,3.9007240,0.6925141,-0.0712348,8.0000000,0.0000000
50.5981826,2.7567294,4.0553117,0.6779934,-0.0743359,8.0000000,0.0000000
50.7981754,2.6323515,4.2121581,0.6628535,-0.0762800,8.0000000,0.0000000
50.9981683,2.5102184,4.3711072,0.6474076,-0.0780391,8.0000000,0.0000000
51.1981611,2.3908529,4.5315631,0.6317630,-0.0786491,8.0000000,0.0000000
51.3981539,2.2738649,4.6941122,0.6158294,-0.0807158,8.0000000,0.0000000
51.5981467,2.1597238,4.8582406,0.5993714,-0.0841632,8.0000000,0.0000000
51.7981395,2.0479766,5.0248406,0.5821970,-0.0868880,8.0000000,0.0000000
51.9981323,1.9396296,5.1926190,0.5644101,-0.0938805,8.0000000,0.0000000
52.1981252,1.8342658,5.3627916,0.5437168,-0.1133279,8.0000000,0.0000000
52.3981180,1.7329093,5.5351547,0.5185097,-0.1404076,8.0000000,0.0000000
52.5981108,1.6367257,5.7097105,0.4879737,-0.1611746,8.0000000,0.0000000
52.7981036,1.5458449,5.8877676,0.4560015,-0.1580328,8.0000000,0.0000000
52.9980964,1.4607055,6.0684405,0.4248605,-0.1543164,8.0000000,0.0000000
53.1980892,1.3810216,6.2520217,0.3942658,-0.1511530,8.0000000,0.0000000
53.3980821,1.3069933,6.4377352,0.3645203,-0.1462993,8.0000000,0.0000000
53.5980749,1.2384730,6.6254044,0.3357871,-0.1414759,8.0000000,0.0000000
53.7980677,1.1751406,6.8153920,0.3078875,-0.1371426,8.0000000,0.0000000
53.9980605,1.1171568,7.0066759,0.2809028,-0.1329647,8.0000000,0.0000000
54.1980533,1.0642567,7.1995161,0.2546902,-0.1292671,8.0000000,0.0000000
54.3980461,1.0162949,7.3939447,0.2291135,-0.1262568,8.0000000,0.0000000
54.5980390,0.9733384,7.5891632,0.2041586,-0.1235810,8.0000000,0.0000000
54.7980318,0.9351791,7.7856053,0.1796384,-0.1214459,8.0000000,0.0000000
54.9980246,0.9018245,7.9828092,0.1555173,-0.1199136,8.0000000,0.0000000
55.1980174,0.8731865,8.1809089,0.1316695,-0.1184791,8.0000000,0.0000000
55.3980102,0.8492677,8.3795331,0.1080495,-0.1175777,8.0000000,0.0000000
55.5980030,0.8300424,8.5785023,0.0846221,-0.1169542,8.0000000,-1.1883881
55.7979959,0.8154470,8.7782979,0.0612404,-0.1164675,7.9702360,-5.8868901
55.9979887,0.8055375,8.9778933,0.0379755,-0.1163980,7.8211246,-6.1175356
56.1979815,0.8002718,9.1777858,0.0146926,-0.1165312,7.6630975,-6.3459525
56.3979743,0.7996708,9.3780596,-0.0087222,-0.1174124,7.4956503,-6.5415312
56.5979671,0.8037607,9.5777205,-0.0322877,-0.1190316,7.3190338,-6.7108503
56.7979599,0.8126127,9.7774478,-0.0563953,-0.1220463,7.1333030,-6.8007297
56.9979528,0.8263622,9.9770567,-0.0813783,-0.1283301,6.9400157,-6.6772157
57.1979456,0.8451919,10.1758902,-0.1077393,-0.1373826,6.7448519,-6.4066989
57.3979384,0.8695075,10.3743218,-0.1365661,-0.1506680,6.5521325,-5.8372920
57.5979312,0.8997958,10.5716762,-0.1687502,-0.1721877,6.3714682,-5.1250062
57.7979240,0.9368806,10.7680505,-0.2054099,-0.1987401,6.2085166,-4.1066457
57.9979168,0.9818843,10.9633148,-0.2488173,-0.2342746,6.0747904,-3.2993323
58.1979097,1.0358067,11.1557488,-0.2986083,-0.2648953,5.9651817,-2.5822979
58.3979025,1.1000370,11.3455740,-0.3548747,-0.2929582,5.8779683,-1.8765930
58.5978953,1.1750335,11.5306737,-0.4159363,-0.3198904,5.8137682,-1.5066235
58.7978881,1.2620669,11.7115405,-0.4816093,-0.3364720,5.7617075,-1.1381696
58.9978809,1.3610290,11.8859580,-0.5510776,-0.3521202,5.7220645,-0.7662012
59.1978737,1.4713770,12.0519608,-0.6228165,-0.3667226,5.6952219,-0.6557054
59.3978666,1.5940870,12.2101946,-0.6966311,-0.3729803,5.6721495,-0.6557054
59.5978594,1.7288106,12.3594879,-0.7712575,-0.3638577,5.6489828,-0.2614252
59.7978522,1.8735110,12.4980854,-0.8413222,-0.3256284,5.6397199,0.9946891
59.9978450,2.0256672,12.6261243,-0.8972809,-0.1985800,5.6748834,4.6436623
60.1978378,2.1811594,12.7474323,-0.9133710,-0.0539936,5.8362402,4.6058077
60.3978306,2.3393604,12.8673253,-0.9344078,-0.1571501,5.9919911,4.5682617
60.5978235,2.5037559,12.9840571,-0.9747725,-0.2303986,6.1425724,2.5378061
60.7978163,2.6709774,13.0917932,-1.0228415,-0.2515470,6.2246512,1.4638228
60.9978091,2.8434823,13.1911757,-1.0733780,-0.2532325,6.2715062,1.2383138
61.1978019,3.0232251,13.2828756,-1.1247841,-0.2536812,6.3108714,1.0849211
61.3977947,3.2059028,13.3646286,-1.1751582,-0.2517894,6.3451596,1.0421564
61.5977875,3.3925882,13.4371152,-1.2256434,-0.2511790,6.3779227,0.9535341
61.7977804,3.5831836,13.5002386,-1.2765046,-0.2564215,6.4077530,-1.3963096
61.9977732,3.7761901,13.5533474,-1.3282229,-0.2616841,6.3640234,-2.0402864
62.1977660,3.9719865,13.5963040,-1.3817591,-0.2713515,6.2995801,-1.7407866
62.3977588,4.1690538,13.6284320,-1.4370203,-0.2835153,6.2440707,-1.1052370
62.5977516,4.3687374,13.6494132,-1.4958539,-0.3030211,6.2085699,-0.7792389
62.7977444,4.5676976,13.6581890,-1.5580803,-0.3138514,6.1834178,-0.7792389
62.9977373,4.7675508,13.6546434,-1.6179494,-0.2826626,6.1581630,0.5077059
63.1977301,4.9666404,13.6398787,-1.6703006,-0.2409116,6.1746293,2.0379682
63.3977229,5.1650396,13.6155325,-1.7140201,-0.1973462,6.2402889,3.5214634
63.5977157,5.3623545,13.5833503,-1.7496529,-0.1591267,6.3521445,4.4776548
