d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
25.7730096,20.7218572,18.0546140,-0.9470052,-0.0183019,8.0000000,0.0000000
25.9728004,20.8842333,18.1710198,-0.9506335,-0.0180183,8.0000000,0.0000000
26.1725911,21.0470272,18.2868404,-0.9542050,-0.0177348,8.0000000,0.0000000
26.3723819,21.2102308,18.4020835,-0.9577200,-0.0174518,8.0000000,0.0000000
26.5721727,21.3738350,18.5167568,-0.9611785,-0.0171698,8.0000000,0.0000000
26.7719634,21.5378317,18.6308682,-0.9645806,-0.0168859,8.0000000,0.0000000
26.9717542,21.7022124,18.7444258,-0.9679258,-0.0166032,8.0000000,0.0000000
27.1715450,21.8669689,18.8574374,-0.9712152,-0.0163252,8.0000000,0.0000000
27.3713358,22.0320932,18.9699110,-0.9744492,-0.0160481,8.0000000,0.0000000
27.5711265,22.1975772,19.0818546,-0.9776272,-0.0157494,8.0000000,0.0000000
27.7709173,22.3634125,19.1932772,-0.9807377,-0.0153885,8.0000000,0.0000000
27.9707081,22.5295895,19.3041895,-0.9837732,-0.0149882,8.0000000,0.0000000
28.1704989,22.6960979,19.4146037,-0.9867266,-0.0145795,8.0000000,0.0000000
28.3702896,22.8629272,19.5245323,-0.9895997,-0.0141824,8.0000000,0.0000000
28.5700804,23.0300674,19.6339879,-0.9923934,-0.0137827,8.0000000,0.0000000
28.7698712,23.1975082,19.7429827,-0.9951070,-0.0133827,8.0000000,0.0000000
28.9696619,23.3652399,19.8515295,-0.9977409,-0.0129840,8.0000000,0.0000000
29.1694527,23.5332528,19.9596409,-1.0002953,-0.0125861,8.0000000,0.0000000
29.3692435,23.7015368,20.0673293,-1.0027701,-0.0121887,8.0000000,0.0000000
29.5690343,23.8700826,20.1746076,-1.0051657,-0.0117917,8.0000000,0.0000000
29.7688250,24.0388808,20.2814887,-1.0074819,-0.0113954,8.0000000,0.0000000
29.9686158,24.2079216,20.3879850,-1.0097190,-0.0109994,8.0000000,0.0000000
30.1684066,24.3771962,20.4941097,-1.0118771,-0.0106039,8.0000000,0.0000000
30.3681973,24.5466954,20.5998756,-1.0139562,-0.0102088,8.0000000,0.0000000
30.5679881,24.7164097,20.7052954,-1.0159564,-0.0098140,8.0000000,0.0000000
30.7677789,24.8863305,20.8103823,-1.0178777,-0.0094194,8.0000000,0.0000000
30.9675697,25.0564489,20.9151493,-1.0197202,-0.0090251,8.0000000,0.0000000
31.1673604,25.2267557,21.0196093,-1.0214840,-0.0086309,8.0000000,0.0000000
31.3671512,25.3972425,21.1237755,-1.0231690,-0.0082369,8.0000000,0.0000000
31.5669420,25.5679006,21.2276610,-1.0247753,-0.0078429,8.0000000,0.0000000
31.7667327,25.7387210,21.3312789,-1.0263029,-0.0074488,8.0000000,0.0000000
31.9665235,25.9096956,21.4346426,-1.0277517,-0.0070548,8.0000000,0.0000000
32.1663143,26.0808158,21.5377652,-1.0291218,-0.0066606,8.0000000,0.0000000
32.3661051,26.2520728,21.6406598,-1.0304131,-0.0062662,8.0000000,0.0000000
32.5658958,26.4234587,21.7433401,-1.0316256,-0.0058715,8.0000000,0.0000000
32.7656866,26.5949649,21.8458193,-1.0327593,-0.0054765,8.0000000,0.0000000
32.9654774,26.7665830,21.9481107,-1.0338140,-0.0050813,8.0000000,0.0000000
33.1652682,26.9383050,22.0502278,-1.0347896,-0.0046856,8.0000000,0.0000000
33.3650589,27.1101225,22.1521842,-1.0356862,-0.0042894,8.0000000,0.0000000
33.5648497,27.2820273,22.2539933,-1.0365036,-0.0038928,8.0000000,0.0000000
33.7646405,27.4540112,22.3556686,-1.0372416,-0.0034955,8.0000000,0.0000000
33.9644312,27.6260661,22.4572238,-1.0379003,-0.0030976,8.0000000,0.0000000
34.1642220,27.7981838,22.5586725,-1.0384794,-0.0026992,8.0000000,0.0000000
34.3640128,27.9703562,22.6600284,-1.0389788,-0.0023000,8.0000000,0.0000000
34.5638036,28.1425751,22.7613052,-1.0393983,-0.0019000,8.0000000,0.0000000
34.7635943,28.3148325,22.8625166,-1.0397379,-0.0014994,8.0000000,0.0000000
34.9633851,28.4871202,22.9636764,-1.0399974,-0.0010979,8.0000000,0.0000000
35.1631759,28.6594300,23.0647983,-1.0401766,-0.0006955,8.0000000,0.0000000
35.3629666,28.8317540,23.1658964,-1.0402753,-0.0002924,8.0000000,0.0000000
35.5627574,29.0040838,23.2669844,-1.0402933,0.0001116,8.0000000,0.0000000
35.7625482,29.1764113,23.3680762,-1.0402306,0.0005166,8.0000000,0.0000000
35.9623390,29.3487285,23.4691858,-1.0400869,0.0009222,8.0000000,0.0000000
36.1621297,29.5210270,23.5703272,-1.0398620,0.0013288,8.0000000,0.0000000
36.3619205,29.6932986,23.6715143,-1.0395559,0.0017364,8.0000000,0.0000000
36.5617113,29.8655352,23.7727612,-1.0391682,0.0021445,8.0000000,0.0000000
36.7615021,30.0377283,23.8740818,-1.0386989,0.0025532,8.0000000,0.0000000
36.9612928,30.2098697,23.9754903,-1.0381478,0.0029637,8.0000000,0.0000000
37.1610836,30.3819511,24.0770007,-1.0375147,0.0033740,8.0000000,0.0000000
37.3608744,30.5539639,24.1786270,-1.0367998,0.0037822,8.0000000,0.0000000
37.5606651,30.7259002,24.2803835,-1.0360027,0.0041990,8.0000000,0.0000000
37.7604559,30.8977508,24.3822842,-1.0351163,0.0048228,8.0000000,0.0000000
37.9602467,31.0695020,24.4843519,-1.0340365,0.0059869,8.0000000,0.0000000
38.1600375,31.2411269,24.5866286,-1.0326242,0.0084407,8.0000000,0.0000000
38.3598282,31.4125806,24.6891955,-1.0306570,0.0112095,8.0000000,0.0000000
38.5596190,31.5838047,24.7921459,-1.0281563,0.0138232,8.0000000,0.0000000
38.7594098,31.7547434,24.8955684,-1.0251339,0.0164321,8.0000000,0.0000000
38.9592005,31.9253424,24.9995521,-1.0215879,0.0191296,8.0000000,0.0000000
39.1589913,32.0955415,25.1041873,-1.0174732,0.0220604,8.0000000,0.0000000
39.3587821,32.2652727,25.2095746,-1.0126724,0.0262894,8.0000000,0.0000000
39.5585729,32.4344506,25.3158537,-1.0069571,0.0310066,8.0000000,0.0000000
39.7583636,32.6029663,25.4231797,-1.0002606,0.0360286,8.0000000,0.0000000
39.9581544,32.7707022,25.5317135,-0.9925684,0.0409533,8.0000000,0.0000000
40.1579452,32.9375485,25.6416188,-0.9838973,0.0458429,8.0000000,0.0000000
40.3577359,33.1033799,25.7530467,-0.9742514,0.0507164,8.0000000,0.0000000
40.5575267,33.2680703,25.8661464,-0.9636362,0.0555388,8.0000000,0.0000000
40.7573175,33.4315008,25.9810703,-0.9520594,0.0603465,8.0000000,0.0000000
40.9571083,33.5935320,26.0979548,-0.9395227,0.0651527,8.0000000,0.0000000
41.1568990,33.7540252,26.2169361,-0.9260306,0.0698986,8.0000000,0.0000000
41.3566898,33.9128458,26.3381507,-0.9115925,0.0746191,8.0000000,0.0000000
41.5564806,34.0698395,26.4617175,-0.8962165,0.0793044,8.0000000,0.0000000
41.7562714,34.2248532,26.5877557,-0.8798779,0.0843338,8.0000000,0.0000000
41.9560621,34.3777246,26.7163904,-0.8625254,0.0890645,8.0000000,0.0000000
42.1558529,34.5282836,26.8477202,-0.8443706,0.0926812,8.0000000,0.0000000
42.3556437,34.6763885,26.9818133,-0.8255633,0.0953658,8.0000000,0.0000000
42.5554344,34.8219107,27.1187030,-0.8062653,0.0978941,8.0000000,0.0000000
42.7552252,34.9647264,27.2584127,-0.7864232,0.1007437,8.0000000,0.0000000
42.9550160,35.1047043,27.4009721,-0.7659997,0.1037299,8.0000000,0.0000000
43.1548068,35.2416927,27.5463965,-0.7449688,0.1068312,8.0000000,0.0000000
43.3545975,35.3755469,27.6947130,-0.7233022,0.1100717,8.0000000,0.0000000
43.5543883,35.5061099,27.8459410,-0.7009726,0.1134935,8.0000000,0.0000000
43.7541791,35.6332041,28.0000830,-0.6779468,0.1170394,8.0000000,0.0000000
43.9539698,35.7566617,28.1571579,-0.6541967,0.1207209,8.0000000,0.0000000
44.1537606,35.8762959,28.3171655,-0.6297064,0.1244431,8.0000000,0.0000000
44.3535514,35.9919115,28.4800925,-0.6044684,0.1282219,8.0000000,0.0000000
44.5533422,36.1033179,28.6459311,-0.5784668,0.1320750,8.0000000,0.0000000
44.7531329,36.2103075,28.8146452,-0.5517155,0.1356601,8.0000000,-2.5980258
44.9529237,36.3126875,28.9862001,-0.5242552,0.1393842,7.9348520,-4.4563648
45.1527145,36.4102495,29.1605407,-0.4959783,0.1436803,7.8218409,-4.4234954
45.3525052,36.5027554,29.3375851,-0.4668531,0.1479017,7.7080249,-4.3338891
45.5522960,36.5900072,29.5173207,-0.4368552,0.1532837,7.5948605,-4.0407245
45.7520868,36.6716971,29.6996385,-0.4053272,0.1623397,7.4878106,-3.6199422
45.9518776,36.7474154,29.8844922,-0.3718128,0.1738028,7.3905917,-3.1552082
46.1516683,36.8166864,30.0719089,-0.3358474,0.1861371,7.3047986,-2.6852381
46.3514591,36.8789314,30.2617438,-0.2974276,0.1985269,7.2309827,-2.1874610
46.5512499,36.9335994,30.4538996,-0.2565003,0.2112374,7.1702888,-1.6812108
46.7510407,36.9801116,30.6482002,-0.2129948,0.2237413,7.1232900,-1.2598147
46.9508314,37.0178996,30.8443668,-0.1672599,0.2341671,7.0878673,-1.1088022
47.1506222,37.0464905,31.0420816,-0.1198233,0.2391020,7.0565434,-1.0769814
47.3504130,37.0656077,31.2409479,-0.0717547,0.2416533,7.0259849,-1.0722794
47.5502037,37.0751118,31.4405015,-0.0233951,0.2426001,6.9954271,-1.1232381
47.7499945,37.0749329,31.6403122,0.0252374,0.2441870,6.9632733,-1.1471130
47.9497853,37.0650095,31.8398161,0.0742362,0.2463466,6.9302821,-1.1468563
48.1495761,37.0452801,32.0386307,0.1236571,0.2484691,6.8971405,-1.0589236
48.3493668,37.0157023,32.2362218,0.1736577,0.2524414,6.8663980,-0.9531230
48.5491576,36.9762165,32.4319897,0.2245468,0.2565935,6.8386088,-0.4583835
48.7489484,36.9267510,32.6255400,0.2759130,0.2576024,6.8252040,-0.9493901
48.9487391,36.8674248,32.8162337,0.3272139,0.2548729,6.7973561,-0.7178209
49.1485299,36.7984517,33.0037206,0.3776576,0.2501440,6.7762248,-0.4217293
49.3483207,36.7202055,33.1875035,0.4272309,0.2462614,6.7637791,-0.1985202
49.5481115,36.6329930,33.3672335,0.4763378,0.2466478,6.7579126,-0.1950142
49.7479022,36.5370090,33.5424801,0.5259262,0.2492295,6.7521447,-0.2919112
49.9476930,36.4324689,33.7126845,0.5756462,0.2485352,6.7435017,-0.2288891
50.1474838,36.3196278,33.8775159,0.6245844,0.2382517,6.7367170,0.2624060
50.3472745,36.1990276,34.0368461,0.6707921,0.2250686,6.7444947,0.8349624
50.5470653,36.0714084,34.1905318,0.7149338,0.2168915,6.7691834,1.1277622
