d_m,x_m,y_m,psi_rad,k_radpm,v_mps,a_mps2
17.9908579,14.5461276,12.9590523,-0.8161204,-0.0385240,8.0000000,0.0000000
18.1907563,14.6922706,13.0954460,-0.8235813,-0.0361200,8.0000000,0.0000000
18.3906548,14.8393890,13.2307758,-0.8305608,-0.0337094,8.0000000,0.0000000
18.5905532,14.9874169,13.3651121,-0.8370575,-0.0312908,8.0000000,0.0000000
18.7904516,15.1362860,13.4985233,-0.8430701,-0.0288631,8.0000000,0.0000000
18.9903500,15.2859181,13.6310696,-0.8485974,-0.0264538,8.0000000,0.0000000
19.1902484,15.4362505,13.7628238,-0.8536497,-0.0240947,8.0000000,0.0000000
19.3901469,15.5872193,13.8938542,-0.8582495,-0.0219816,8.0000000,0.0000000
19.5900453,15.7387581,14.0242163,-0.8624400,-0.0199591,8.0000000,0.0000000
19.7899437,15.8908181,14.1539745,-0.8662331,-0.0179914,8.0000000,0.0000000
19.9898421,16.0433462,14.2831868,-0.8696325,-0.0160178,8.0000000,0.0000000
20.1897405,16.1962821,14.4119060,-0.8726369,-0.0140401,8.0000000,0.0000000
20.3896390,16.3495822,14.5401984,-0.8752452,-0.0120560,8.0000000,0.0000000
20.5895374,16.5031927,14.6681223,-0.8774565,-0.0100664,8.0000000,0.0000000
20.7894358,16.6570542,14.7957318,-0.8792696,-0.0080727,8.0000000,0.0000000
20.9893342,16.8111270,14.9230975,-0.8806834,-0.0060727,8.0000000,0.0000000
21.1892327,16.9653553,15.0502759,-0.8817159,-0.0043534,8.0000000,0.0000000
21.3891311,17.1196870,15.1773138,-0.8824322,-0.0030234,8.0000000,0.0000000
21.5890295,17.2741083,15.3042596,-0.8830522,-0.0031798,8.0000000,0.0000000
21.7889279,17.4286098,15.4311059,-0.8837204,-0.0036072,8.0000000,0.0000000
21.9888263,17.5831940,15.5578334,-0.8845005,-0.0041985,8.0000000,0.0000000
22.1887248,17.7378961,15.6844406,-0.8853990,-0.0047905,8.0000000,0.0000000
22.3886232,17.8927164,15.8108972,-0.8864159,-0.0053833,8.0000000,0.0000000
22.5885216,18.0476622,15.9371786,-0.8875512,-0.0059770,8.0000000,0.0000000
22.7884200,18.2027744,16.0632874,-0.8888055,-0.0065715,8.0000000,0.0000000
22.9883184,18.3580465,16.1891879,-0.8901786,-0.0071670,8.0000000,0.0000000
23.1882169,18.5134869,16.3148560,-0.8916708,-0.0077635,8.0000000,0.0000000
23.3881153,18.6691420,16.4402989,-0.8932825,-0.0083610,8.0000000,0.0000000
23.5880137,18.8249979,16.5654744,-0.8950137,-0.0089594,8.0000000,0.0000000
23.7879121,18.9810647,16.6903601,-0.8968644,-0.0095589,8.0000000,0.0000000
23.9878106,19.1373937,16.8149665,-0.8988354,-0.0101592,8.0000000,0.0000000
24.1877090,19.2939638,16.9392458,-0.9009263,-0.0107605,8.0000000,0.0000000
24.3876074,19.4507877,17.0631777,-0.9031373,-0.0113626,8.0000000,0.0000000
24.5875058,19.6079185,17.1867734,-0.9054690,-0.0119652,8.0000000,0.0000000
24.7874042,19.7653308,17.3099822,-0.9079211,-0.0125684,8.0000000,0.0000000
24.9873027,19.9230412,17.4327865,-0.9104937,-0.0131720,8.0000000,0.0000000
25.1872011,20.0810979,17.5551935,-0.9131872,-0.0137755,8.0000000,0.0000000
25.3870995,20.2394777,17.6771543,-0.9160012,-0.0143789,8.0000000,0.0000000
25.5869979,20.3981989,17.7986530,-0.9189356,-0.0149819,8.0000000,0.0000000
25.7868963,20.5573031,17.9196909,-0.9219908,-0.0155836,8.0000000,0.0000000
25.9867948,20.7167714,18.0402233,-0.9251660,-0.0161843,8.0000000,0.0000000
